as_of,label,confidence,size_mult,degradation_level,crisis,needs_llm_review,fwd_1d_ret,fwd_5d_ret,fwd_20d_ret
2021-05-25,BEAR_TREND,0.9926,0.5,0,0,0,0.001984432505506062,0.004997057452450049,0.013730326083330802
2021-05-26,BEAR_TREND,0.9706,0.5,0,0,0,0.0005253582423936365,-0.0007157596712931147,0.01770764476551223
2021-05-27,BEAR_TREND,0.8716,0.5,0,0,0,0.001788459596242964,0.007894081422214372,0.02078626450561516
2021-05-28,BEAR_TREND,0.5977,0.3692,0,0,1,-0.0008807315812981997,0.00511846469862598,0.02101807343350437
2021-06-01,BEAR_TREND,0.979,0.5,0,0,0,0.0015724195921800188,0.006219061188579955,0.022468019838211006
2021-06-02,BEAR_TREND,0.8133,0.5,0,0,0,-0.0037112596174655454,0.0031405238269366365,0.021722008293470374
2021-06-03,BEAR_TREND,0.9978,0.5,0,0,0,0.009145892817879364,0.011557499114022818,0.03120606687362093
2021-06-04,BEAR_TREND,0.9913,0.5,0,0,0,-0.0009703429934393437,0.004046136987224891,0.029671078467037315
2021-06-07,BEAR_TREND,0.9965,0.5,0,0,0,0.0002132958378444627,0.00727171637597368,0.02879354503022613
2021-06-08,BEAR_TREND,0.9991,0.5,0,0,0,-0.001491901322655087,0.0052096999197679406,0.0322092372841154
2021-06-09,BEAR_TREND,0.9998,0.5,0,0,0,0.004648224928738065,0.0010909376081018607,0.025328459166479078
2021-06-10,BEAR_TREND,0.9833,0.5,0,0,0,0.0016524381735663063,-0.003871347240409939,0.031479244171708665
2021-06-11,BEAR_TREND,0.9546,0.5,0,0,0,0.0022391205478062837,-0.018930683444245977,0.03346613889431738
2021-06-14,BULL_TREND,0.8601,1.0,0,0,1,-0.0018342711117704802,-0.007108962680615893,0.02764191936076088
2021-06-15,VOLATILE_TRANSITION,0.5322,0.25,0,0,1,-0.00558320438613924,3.363839845493821e-05,0.031066638975927097
2021-06-16,BEAR_TREND,0.9809,0.5,0,0,1,-0.0003316929562039439,0.004436170741445533,0.033314203254941166
2021-06-17,BEAR_TREND,0.9523,0.5,0,0,0,-0.013490405859741927,0.010713326920281707,0.02554937403057944
2021-06-18,BEAR_TREND,1.0,0.5,0,0,0,0.014315933899892164,0.028173864036853624,0.02422137397989177
2021-06-21,BEAR_TREND,0.9999,0.5,0,0,0,0.005346274732914491,0.015705837961452307,0.024236182347998847
2021-06-22,BEAR_TREND,0.9999,0.5,0,0,0,-0.001205399543379837,0.010848134051513192,0.027037973857300557
2021-06-23,BEAR_TREND,0.9998,0.5,0,0,0,0.005915666779671147,0.012919891463263111,0.030430684370381655
2021-06-24,BEAR_TREND,0.9998,0.5,0,0,0,0.003552000652128351,0.012538302584518046,0.03490947887646367
2021-06-25,BEAR_TREND,1.0,0.5,0,0,0,0.0020159543391342627,0.016666683207360755,0.03377805661146671
2021-06-28,BEAR_TREND,1.0,0.5,0,0,0,0.000538116359605878,0.012772854250540089,0.02699625322294552
2021-06-29,BEAR_TREND,1.0,0.5,0,0,0,0.0008416538631668136,0.015805472189290848,0.02602288966506494
2021-06-30,BEAR_TREND,1.0,0.5,0,0,0,0.005536716544185527,0.006681386202945561,0.0294117333775632
